timestamp,source_ip,dest_ip,source_port,dest_port,protocol,action,rule_id,packet_size,interface
2026-09-06 05:00:01,45.33.32.156,10.0.1.10,54101,21,TCP,DENY,FW-BLOCK-DEFAULT,64,eth0
2026-09-06 05:00:02,45.33.32.156,10.0.1.10,54102,22,TCP,ALLOW,FW-ALLOW-SSH,64,eth0
2026-09-06 05:00:03,45.33.32.156,10.0.1.10,54103,23,TCP,DENY,FW-BLOCK-TELNET,64,eth0
2026-09-06 05:00:04,45.33.32.156,10.0.1.10,54104,25,TCP,DENY,FW-BLOCK-DEFAULT,64,eth0
2026-09-06 05:00:05,45.33.32.156,10.0.1.10,54105,53,UDP,DENY,FW-BLOCK-DEFAULT,72,eth0
2026-09-06 05:00:06,45.33.32.156,10.0.1.10,54106,80,TCP,ALLOW,FW-ALLOW-HTTP,64,eth0
2026-09-06 05:00:07,45.33.32.156,10.0.1.10,54107,110,TCP,DENY,FW-BLOCK-DEFAULT,64,eth0
2026-09-06 05:00:08,45.33.32.156,10.0.1.10,54108,135,TCP,DENY,FW-BLOCK-RPC,64,eth0
2026-09-06 05:00:09,45.33.32.156,10.0.1.10,54109,139,TCP,DENY,FW-BLOCK-NETBIOS,64,eth0
2026-09-06 05:00:10,45.33.32.156,10.0.1.10,54110,443,TCP,ALLOW,FW-ALLOW-HTTPS,64,eth0
2026-09-06 05:00:11,45.33.32.156,10.0.1.10,54111,445,TCP,DENY,FW-BLOCK-SMB,64,eth0
2026-09-06 05:00:12,45.33.32.156,10.0.1.10,54112,1433,TCP,DENY,FW-BLOCK-MSSQL,64,eth0
2026-09-06 05:00:13,45.33.32.156,10.0.1.10,54113,3306,TCP,DENY,FW-BLOCK-MYSQL,64,eth0
2026-09-06 05:00:14,45.33.32.156,10.0.1.10,54114,3389,TCP,DENY,FW-BLOCK-RDP,64,eth0
2026-09-06 05:00:15,45.33.32.156,10.0.1.10,54115,8080,TCP,DENY,FW-BLOCK-DEFAULT,64,eth0
2026-09-06 09:12:00,10.0.1.50,8.8.8.8,49152,53,UDP,ALLOW,FW-OUTBOUND-DNS,68,eth1
2026-09-06 09:12:01,10.0.1.50,140.82.121.4,49153,443,TCP,ALLOW,FW-OUTBOUND-HTTPS,1460,eth1
2026-09-06 09:15:30,10.0.1.55,1.1.1.1,51221,53,UDP,ALLOW,FW-OUTBOUND-DNS,68,eth1
